node,centr_close_wt,centr_close_in_wt,centr_close_out_wt
86,1.4597861E-6,4.4199806E-7,2.4775741E-6
12,1.6511651E-6,4.3849019E-7,2.86384E-6
73,0.0000132152,0.0000240591,2.3713788E-6
81,0.0000132154,0.0000240594,2.3713945E-6
79,0.0000132158,0.0000240601,2.3714154E-6
33,0.0000111148,0.0000198993,2.330271E-6
100,0.0000131725,0.0000239742,2.3708262E-6
97,0.0000131898,0.0000240085,2.3711376E-6
40,0.0000131905,0.0000240097,2.3713863E-6
113,0.0000130315,0.0000236946,2.3684084E-6
78,0.0000132122,0.000024053,2.3713972E-6
16,0.0000132128,0.0000240541,2.3714671E-6
20,0.0000220157,0.0000440314,0
41,9.8430819E-6,0.0000173663,2.3198867E-6
115,0.0000127946,0.0000232202,2.3690241E-6
99,0.0000131427,0.0000239148,2.3706413E-6
53,0.0000131601,0.0000239506,2.3695968E-6
107,9.9629888E-6,0.000017615,2.3109989E-6
35,0.0000121324,0.000021898,2.3668135E-6
94,0.0000129185,0.0000234683,2.3686186E-6
112,0.0000129813,0.0000235948,2.3678077E-6
44,0.0000131478,0.0000239245,2.3711744E-6
1,0.0000959383,0,0.0001918766
83,1.4653054E-6,4.5286681E-7,2.477744E-6
71,0.0000132143,0.0000240573,2.3714014E-6
85,0.0000132147,0.0000240579,2.3714016E-6
117,0.000011668,0.000020985,2.3511013E-6
36,0.00001228,0.0000222034,2.3566473E-6
102,0.0000131172,0.000023865,2.3693674E-6
110,0.0000131354,0.0000239004,2.3703645E-6
8,1.5799123E-6,4.3849009E-7,2.7213346E-6
48,0.0000110871,0.0000199337,2.2404144E-6
25,0.0000132027,0.0000240341,2.3712918E-6
10,1.7296459E-6,4.3849019E-7,3.0208016E-6
120,0.0000127847,0.0000232017,2.3677138E-6
17,0.0000129928,0.0000236211,2.3645936E-6
43,0.0000131679,0.0000239644,2.3713351E-6
24,0.0000130267,0.0000236879,2.3654619E-6
76,0.0000132162,0.000024061,2.3714145E-6
66,0.0000132164,0.0000240614,2.3714191E-6
67,0.0000132164,0.0000240614,2.3714197E-6
65,0.0000132164,0.0000240615,2.3714196E-6
128,0.0000132164,0.0000240615,2.3714197E-6
106,1.9229013E-6,2.3764957E-6,1.469307E-6
122,0.000012756,0.0000231424,2.3695662E-6
75,0.0000132042,0.0000240371,2.3711706E-6
87,0.0000132046,0.0000240379,2.3711695E-6
15,2.1525116E-6,4.3849019E-7,3.866533E-6
91,0.0000117799,0.000021193,2.3667958E-6
26,0.000012423,0.000022482,2.3639852E-6
46,0.0000131694,0.0000239676,2.3712037E-6
